id,ha_text,ig_text,ha_ig_text
2606,allah ya kiyaye musulmi a duk inda yake,nwoke  ma  dal  rinee,
2607,wow yasin nadade ina jiran wannan film a kafta,onye nwe anyi ana m ekele g    n  m  juru n ekele  ebe i mere nd  f d r  m    n  m  juru n ekele,
2608,ehhh gaskiya dae yakamata a jinjinawa gwamnatin shugaba buhari koda kuwa ta wajan tallafawa al ummar sa da yayi wajan samun sauyin kayan masarufi,o gbajiri igwe kpo ya nku odogwu akataka,
2609,bbc daga nan sansfransisco a sansfransisco state university me and my colleague munji dadin lbrn nan,happy birthday to you ijelle one of africa    nnukwu nmawu papa biko birikwa,
2610,ra ayinmu kenan a amshi shawararsa koda yake baizama lallai b  wannan irin shugabancin sai addu a,ehhh    ezenwayi ndi ezenwayi  achala ugo nwayi oma  ya gazie,
2611,malamai magada annabawa  dai dai ne mallam  allah yasa hakan shine mafi alheri amin,ezigbo m  dal  mpa,
2612,kiji dadin ki rahma   ina tare dake kuma wlh i like ur murya matuka   domin itace sillar da tasaka nake yinki,e ututu oma,
2613,toh ina anfanin illimi da ba a anfani dashi  all h ya rabamu da irin wannan illimi marar anfani,nwata di mma  nwata mara nma,
2614,y subhanallah allah kaji qansu d rahma  wannan musiba da suke ta samun mu allah ka dube mu k yaye mn badan halin mu b,happy b day nwokem ibu onye oma    ka chukwu onye nwe anyi gba gi ume    rie nne,
2615,i m watching  kanwar dubarudu  kin iya girki,onye ma na o dago  a na aga award ceremony,
2616,bayan sir abubakar tafawa balewa da sir ahmadu bello babu wani mahaluki da yakai alhaji muhammadu buhari   argue with your keyboard,mga eji obi m nile kele jehovah m ga akokwa akuko olu gi nile m ga a uri o u obi ga atokwaka muto n ime gi  jehovah,
2617,gaskiya ne mah aunty rahma kihuta kawaiiiii,ikana afomu ezigbo mmadu,
2618,wlh fah  the last time i saw him i was like mashaa allah  duk baku kaishi kyau ba yasin,oyigi yigi  the destroyer of the philistines  olori ihe biari lomm    eze ndi eze  aka juwa ni ne  obarankiti okwu juru no nu ya  imela ezeukwu   otito nine na ojijama diri ahan gi ruembe ni ne,
2619,mashaa allahu     sauran                 head,ibu nwanyi oma chai    redlight,
2620,an fara saka dankwali  masha allahu,ego mbute di mma ooo ego mbute,
2621,maganan gsky kenan dattijon kirka allah ya qara lfy baba atiku,chineke i di nma       hotrservice  flc2016,
2622,allah yakawo mana mafita arayuwar mu,nyem mmiri nke nenye ndu,
2623,hmmmmm allah dai yasamudace kawai yataimaki musulunci da musulmi,ihe mmuanya ga erute gi ngwa ngwa,
2624,masha allah yaye kyau allah danda basira,i bu chi mo o i bu chi ibu chi mo o onye m ji eme onu ehh           one music,
2625,gaskia ne  allah yabamu ikon aikata abubuwa wanda addini ya amince dasu,enddrugs  creatawareness  dontdodrugs  stopdrugabuse  ogeneigbovoiceofndigbo  igbosindiaspora  odirachukwumma daalunu chukwu goziwerem gi deeme olu,
2626,allah ya ganar damu mugane gaskiya amin,igboamaka    proudlyafrican  ourwaydonlyway igbo ndi oma,
2627,bbc    allah ya jikan su mansir liman badan sun mutu ba,onye nwe anyi ezitewo ndi mmuo ozi ya ka ha nonyere anyi  onodu m n emetu ya na obi  eze,
2628,woow  the beautiful actress gsky rahma kinyi kyau sosai may allah protect u,t t   ma nne,
2629,rai rai ne wlh kamar yanda sukaji zafi da radadin fitarsa kuma haka zakuji  allah yanaji kuma yana gani    ubangiji ka  kawomuna karshen dukkan azzalumai na fili dana boye,obi m dere du atula ujo  obi m dere du chukwu mara ihe oma o ga emere mu o  obi m dere du obi,
2630,uhmm kuyi duk yanda kukeso allah bamu kudin saya,nwanne omaka ego  odi mkpa,
2631,my congratulations rahama,wow   na mkpuruobi ya zuru ike na ndu kwa  amen  igbotbt,
2632,allah ya biya ku da alheri  ubangiji allah ya idda nufi,nke bu eziokwu ka   kwuru nwanne m  daal  riinne,
2633,woow  france congrats happy winning kofin duniya rahma ashe kema kinason france lalle muna tare,anuri ncheta ubochi omumu gi  agbala nwanyi  aka chukwu di ya,
2634,congratulations by the see this   game din hotunan kannywood actors taba link ayi downloading   ga misali yadda game din yake,ezigbo onye ocha,
2635,su waye matattun kuma  ya salam   a fadi alkhairai ko a yi shiru,onye di ndu  ya kene chi ya,
2636,allah ya yafe miki hajiya sadiya,chief osita osadebe   jesus bu onye ndu,
2637,saboda zaman lapia yayi mana yawa ko  gidanka babu lapia amman          allah ya kyauta,nneoma  i dika gi ano aku very well there,
2638,allah ya kyauta   ya kawo ma talakawa mafita,t t   ma  m  man utd  taa but first sunday of the year   na akwado kwa  ka,
2639,kwankwasiya amana amana sai da amana allah ya taimaki kwankwaso,achorom inye aka kosa aha nwata nwanyi   maka na ebere m na emelu ya  she is onye like ebe a,
2640,a ganina da kece a matakin da mijin ki yake wato shugaba yake  zaki kamanta gakiya    kuma da alama wasu basuyi amfani da kujerar taki ba don azurta kansu  ko su mai dake tv   remote control,ngozi ga diri ndi na echerem echiche oma      show boy nwa jehova    lagos state,
2641,allah ya kara taimakon sheik dafatan sauran malamai zasuyi koyi da irin wanna jihadi amin,igbo b  igbo   t t   ma n  oooo  chi a b  la oooo     ga ad r  any  niile mma  n aha jiz s    f nd,
2642,allah yakawo mana karshen masifan nan  ameen,hehehe    oh my world nwanyi oma,
2643,allah ya tsare mu  ya karemu yakuma nisan tamu da ita,ginwa bu oga ndi oga  egbe ana agba n  anyawu,
2644,ba laifi tana kokari kasan ace education is the key of success,kwudosie ike  nwanne  onwero,
2645,kin kara kyau,jehovah na emere owenya aha  baba you know say no be whine,
2646,gavadai gavadai musulunci allah y sanya hk har cikin    ameen,np chukwu ago zi gi  remix    ft     themiddayexpress with mixby  newmusic  rateit,
2647,allah yakawo mana karshen wannan abu,odogwu inwele ogidi  ekenee m g,
2648,hmmmm muma dai allah ya dora sojin nigeria da suka damu kasar mu da kewaye allah ya kare mana su ameen,nne  ada di nma n ikoyi  oma uma asa aru  happy birthday  ego oyibo n dubai,
2649,allah yasa sun hutah  nigeria    sai allah  allah ya kawo mana karshen wanan fitinan,nsogbu adiro nwanna,
2650,alhmdllh mun gode allah qara basira  plz wake da acct number ni 5k ma zan tura by god will  sai baba,hahaha  ka jehovah mezie okwu,
2651,sadau kina son duk kudin yan nigeria sai ya dawo hannun ki,gadagidi  odogwu kar r  odogwu  dike e ji eji mba  ag  n ab   ofu onye a na as      unu ab ana     ogologo nd  na ah ike g  oooo  happy birthday      peteedochie,
2652,dama ta samu anty,np kpo kpo di kpo  rmx  by  saturdaymorningporridgewithsabina  hangoverzone,
2653,na san za ayi gida da waje,nga owula oke ohia no  onwere agbara n eriri ya aja  good morning  maina,
2654,adam a zango ina gaisuwa  kahuta,pino pino mmimi mmimi umuazi aru di mma ju nno anambra  umuazi anu aru faa di ka enyo  umu nwa anambra biagodi ezigbote board,
2655,allah ya bada sa a   ai abin alfaharin mune,onachukwu the business woman  afia  ma nne,
2656,chab harsai april allah yakaimu,chukwu gozie gi nnwana  o ga diri gi nma,
2657,allah yakara girma yasa kayi governors jahar kano,onye nemema lekwe pelem nala chineke idinma    praise  thedoves  celebrationservice,
2658,amin oga duka ai duk maja ce,ndi b  anyi ekele mu un   ututu oma,
2659,wannan gaskiya ne   gwamna malam nasir ahmad ubangiji allah ya gafartawa balaraben sarki,mma mma ee okorobia di mma  chi onye m ji e mo onu  nara ekele  nara otuto  nsonso gi bu chi mo  anyi n aturu gi mma mma mma mma   6ce,
2660,is dis your skin tabdi wallahi kinyi freah tsam,ok o  nsogbu adiro,
2661,hmm   wae yanason data  dama addu a yace kamai ba wanna ba mudai fatan mu keep shining and keep rising at all times my king,nwa nwere swag,
2662,allah ya kara tsare mana mallan ya bashi lpya da nisan kwana,aka aka ya aka jehovah na eme mma olu ebube ya nke na eruari na ebem no isi iyi nke ndu nke na dighi ata ta aka aka,
2663,nifa bazan zageki ba amma dan allah inada tambaya guda daya kinaso kiga annabi muhammad  s a w    adalilinki wani kafiri yake kalaman batanci akan annabinmu    rahama allah yashiryeni amiin,ibu chukwu ibugi madu x8 na u bi god almighty god you no bi man oh x2 nara ekele nara otito omema nani gi kam gefe    holyhillworship,
2664,ai ta to kokarima kuma tana bada gudunmawa daidai gwagwado nigeria   to germany,otito dili chukwu maka ihe e bu n azu    cheiii,
2665,allah yabamu ikon riskarsa,ek asam oooooo  onye ofe nmanu and nwada igbo     dalu kwa nu oooo  ka chineke mezie okwu,
2666,godiya dubu king of kannywood,nka bu nke anyi,
2667,ameeeen ya rab,onyenweany   okwu g  b  mm    ha b  nd     b  g  ji okwu nke nd  eb gh  ebi   igbobible  happysunday,
2668,gaisuwa maiyawa       great,asa  nwoke oma   uche ego,
2669,allah yabada sa a     allah yakaro basira my king,ma akw kw,
2670,mudai kawai abunda allah yakaimu 2023 za a ga abun mamaki a nigeria    inshallahu,i mana anagh  m ach  okwu,
2671,tab to allah ya kare masu tsutsayi,asin o bughi jesusma gini kam ga eme n eluwa nka gini kam ga eme,
2672,oga  wai yaushe zaka fara posting wakokin breaker         barka da juma a,awwww  ezigbo nwa,
2673,allah sarki allah kamana maganin wannan masifar,chukwu gozie gi ego a man ko na akpagi  anen,
2674,ya allah duk wanda ya zaluncemu duk karfinsa da mulkinsa ya allah kada ka barshi yaji dadin duniya ka saka mana mu mutanen kano da irin zaluncin da akai mana ya zuljalalu wal ikhram,ehn  nsogbu adiro,
2675,dimokradiyya nigeria    tafi ta ko ina burgene naija 4 life,ututu oma   emesizia       you look within oga adilianyi n mma    ndumoduseries,
2676,lalle fa     ashe lai mohammed zai gyara tsufan sa,onye huru chukwu kelebalam chukwu,
2677,masha allah fatan alkairi,odogwu fine boy    odogwu nke omu nwanyi,
2678,allah ya saka mata da gidan aljannah,is gb r  gb r  trying to explain that ikpa barrow bu nd,
2679,ka yarda dani,dal  nne  m ga agba mb  na agwa onye  b la j r  aj j  maka ya,
2680,allah mun tuba ka tsigemana buhari da duk wanda baya kaunar arewa ka mana maganin su,me o  mana eworo m ego ahun kita  ekpere m bu ka chukwu zite onye ga azutara m ya na ihunanya nke chineke,
2681,ka ganka  kamar dan saurayi      allah ya kara basira,lmaooo  5 10 here  afo m nah afo gi nah eme competition  ekele krismas anyi ga eji ntueke or urualla ga ta nkwobi nah ugba  gather your funds,
2682,alhmdllh su anragemasu wahalan shan sanyima xasuhuta avunsu lolz,np nwa ada di nma by oriental brothers  ekwekwoamaagba with mazi john chukwu  1049smafm 08177771049 08188881067,
2683,allah mun tuba gamu gareka ka jikanmu ka tausaya mana badan halin mu ba kadubemu da rahama taka ka karemu da dukkan alumar annabi don albarka sa ka tausaya mana mun tuba,mbada udo d   merry christmas,
2684,allah yakore damuwa inamiki roqon allah,no doubt   m  nwaany  ebonyi gbasili ike,
2685,wakar abba gida gida ta tijjani gandu itace ya kamata tazo a ta farko saboda gaskiya a iya sanina babu wakar da ta fita shahara a 2019 saboda babba da yaro mace da na miji mutum da aljan kowa ya,imela  o dighi onye di ka gi jehovah imela,
2686,allah ya taimaka,hail my jesus ebube di ke  thanksgivingsunday  rogservice  africanpraise,
2687,ungiyar gwagware da tuzurai  arkashin jagorancin shugaban  ungiyar    muna mi a sakon ta aziyyar mu kuma mun bayyana cewar ba zamu taba mantawa dake ba,oooh  asa n  away  nna ehh  u d r  mma m mara over  mma na eme  m  mmad  confuse,
2688,hajiya rahama ina gaisuwa,np onye chimere eze  saturdaysounds w   brownsugar,
2689,role model  allah ya kara daukaka da imani  allah yasa mu zama kamanku ya sheikh  i hope to meet you one day even if that meeting last for seconds,na  nitejolli be dis with    we hail una  np odiro onye dika gi by  chiomajesus     holdit,
2690,his song verse                 rokon da muke a nan duniya har can lahira allah sa muga annabi muhammadu                 allah ya gafartwa shata  arewa legend,onairnow   ogechi ka mma  k anyinoria na oge ndigbo,
2691,gaskiya rikon amana dadtaku tausayi allah kyautata makwanchi,ezigbo abuba ndu,
2692,wowww  gaskiya wannan ba karamin ci gaba bane ga masana antar kannywood  keep moving as a team,chai  onye nkuzi  mpa daalu,
2693,allah kara basira oga,udo diri gi nwannem,
2694,mallam dan allah ga sakona zuwa ga kacemasa inayimasa fatan alkhairi saboda wannan wakar tasa da yayiwa may god continue to bless his talent,abum ezigbi mmadu,
2695,ikon  saimai muna ruwa muyi shukka  anfara shirye  shiryen shirin zaben 2023 keanan  allah yakaimu lokaci yasa ayi damu  muna masu cikakkiyar koshin lafiya    amma hwa wallahi akwai ta kasa,onye bu nna,
2696,allah ya kawo saukin abin ya rabb,imo stetii bu nke anyi nile,
2697,nikuma tabbass akanki rataye kaina zanyi saboda inason ki so ngasky baby,onwelu service apartments di side ngozika okwa ebeahu ka activity n ile gwuru nwanne   ifu umu oma osiso nocha ebeahu eeh,
2698,allah ya bar qauna,unu abola chi  ututu oma ndi nke m  ka chukwu gozie unu n ile,
2699,yace rayuwar mawaka na da muhimmaci,udo d r  gi,
2700,toh allah sa mudace  ya kuma sa mu cika da imaniii   allah mnah maganin mutanen nan,baba  2018 strong  rapu okwu  kanyi kene chukwu,
2701,allah y kawo dauki amin,ihunanya ghi bu ihe juru m n obi,
2702,da kyau  kuma yayi kyau  allah yakara karemu daga miyagun kadda rori,chukwu ga agozi gi maka iheoma i melum   ka m fugodi gist,
2703,lol  ta tsallake rijiya ta baya dakyar knn,elechi amadi gaaa nke oma oga adiligi nma,
2704,allah ya yi wa malam rahma muku ka yasa mu cika da imani,ekene kwam gi,
2705,magana daga masu hankali,odogwu ka i b      chukwu gozie gi,
2706,wannan hukuncin yayi daidai  domin kar wata tattabara ta kara karya doka,eruforu ekweta  nwata a na ebelu gi akwa      daddy  you are very very good  daddy  you are very very good,
2707,gyad a mai sihiri  ka 6are ka ga biyu ka murshe ka ga hud u ka bushe ka afa a baka ka ji gard i,anama ekele g,
2708,tundafa shuwagabannin su na america sun kashe me kashesu aiko kunga dole suyi murna,je nke oma nwanne madu,
2709,to allah ya tabbatar wa yankin mu na arewa zaman lafiya,twhcommunionservice  i b  chukwu   b gh  mmad   you are god you re not man,
2710,dama tuntuni shan shayi kawai sukeyi sai yanzu zai basu umurni  allah ya kawo muna karshen wanga ta adanci,mmadu aburo chukwu,
2711,allah yasa 3 din zai zo mana da wuri kar hawan ruwana ya dawo,abi don t mind because otu ubochi oga adinma,
2712,daga nan filin tuwita    darasin daya kamata su koya shine jajircewa da kuma riko da gaskiya da amana,who said so  gwa anyi ka obi di anyi mma,
2713,ya allah kai mana maganin muta nennan dan girman ka kafimu sanin ta wacce hanya xaka biyo musu allah kana gani allah ka bi mana hiqqin mu amin,happy birthday nwanyioma di igbo jiaga mba  chukwugozieghi,
2714,allah saka da alkhairi duniya da kahuta,agberi father 1 of bayelsa for lgbo land we call odogwu nna ndi egwu,
2715,allah ya jikan su da rahama  amma                 kuntigi                 ne ko                 kutigi,god bless you mazi odogwu aburo guy name na nke ikpeazu,
2716,allah ya temaka  kuma yabada sa a akan alherin dakuka kuduriniya  kuma allah ya kara kareku ya biyamuku bukatinku duniya da lahira amin ya allah,ewo    nke ikili cfc with az  nd  ba nyelu ofuma   daal,
2717,insha allahu bazamuyi kewarsa ba allah zai kawomana wanda yafisa zama alkahiri ga yan nigeria    ya dawo mana da kasarmu cikin hayyacinta,nowjamming    onye oma    keceyfrank  houseparty w   radioturnup,
2718,mu ako yaushe da allah muka dogara muna fatan kuma ya isar mana akan abubuwan da ake mana ameen,okwute ndi igbo nile,
2719,baba kasha da riyarka    lokacin ka ne  dama nasara kana tare da shi  cikin yardan allah muna maka fatan al khairi allah yakara nasara,np jesus bu onye ndu by chief osita osadebe  igbohighliferequest   adanliukwuanu  1047smafm 08092221067 08093331067,
2720,zan bari ya sadu dani saboda inhaihu dashi kaga nahuta da hidiman kudi,chaiii    chukwun m gozie gi,
2721,allah mungode maka allah yh daukaka kasarmu,m  obiligbo kinda morning   culture  igbo na at  ka mman  a,
2722,allah ya baka lafiya mallan,udo diri gi nna,
2723,bye                   a sauka lafiya,onye kwe  chi ya ekwe,
2724,haka ne  shi babba babba ne  yanada kyau kuma duk dadin da kaji arauwa ka rinka yi kana tuna baya  naji dadin kalamman da prince   zango yayi kan mai gidan sa,ndi nke m  udo diri unu,
2725,allahuakbar     allah ubangiji ya kaara mishi nasara da kariya  mu kuma ya sa mu gyara halayenmu na banxa,chukwu n enye karia onye obula     god gifts more than very body                        enugu  nigeria,
2726,wakar nan tai matuqar burgeni,ndi igboamaka anyi bu ndi meme na ndi obiocha    ndi igbo ekene mu nuuu,
2727,topa allah shi keuta,chuckwu gozie gi nwanyi oma,
2728,ma dear whether you re supporting ganduje or abba  you must put your life first  zaben nan fa is not do or die  if it s no longer safe stay at ur parents home  or your matrimonial home   after al,hahahahah  daalu shinne ezigbo nwa nne m,
2729,allahu akbar   kayi hakuri allah zesakama  akwai rannan kin dillanchi,jisikwa ike oo nwannem,
2730,alhamdulillah muna cikin farin ciki,i m not understanding    chukwu dozie zi okwu,
2731,shugaba nagari kenan  nigeria tayi rashi matuqa na shugaba jajirtacce  allah ya jiqansa  allah ya karbi kyawawan ayyukansa,np i celebrate  oge ndi igbo,
2732,allah dai ya baka wani abun yi mafi alkhairi,anyi kwu gi nazu,
2733,aiki aiki dai baba akwato mana yancinmu,daalu nu ezigbote mmadu,
2734,nijeriya ta bukaci amurka da su kawo karshen kashe bakaken fata da akeyi,1stservice    otua ka chineke anyi di eh resp   agidigba eh eh eh agidigba eh     thanksgivingservice  priestofpraise,
